    PID CMD
    857 avahi-daemon: chroot helper
    784 avahi-daemon: running [osc.local]
   2983 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    785 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     52 [ecryptfs-kthread]
   1688 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1586 gdm-session-worker [pam/gdm-password]
   2408 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
     42 [irq/9-acpi]
    300 [jbd2/dm-0-8]
    535 [jbd2/sda2-8]
     30 [kauditd]
     35 [kcompactd0]
     27 [kdevtmpfs]
     38 [khugepaged]
     31 [khungtaskd]
     36 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     51 [kswapd0]
      2 [kthreadd]
     10 [kworker/0:0H-kblockd]
   2918 [kworker/0:0-inet_frag_wq]
      9 [kworker/0:1-events]
    128 [kworker/0:2-cgroup_destroy]
    167 [kworker/0:2H-kblockd]
   2919 [kworker/0:3-events]
   2892 [kworker/1:0-cgroup_destroy]
     26 [kworker/1:0H-events_highpri]
     50 [kworker/1:1H-kblockd]
    254 [kworker/1:2-events]
    739 [kworker/1:3-cgroup_destroy]
     54 [kworker/R-acpi_]
     44 [kworker/R-ata_s]
     41 [kworker/R-blkcg]
     85 [kworker/R-charg]
    529 [kworker/R-crypt]
     48 [kworker/R-devfr]
     47 [kworker/R-edac-]
    301 [kworker/R-ext4-]
    536 [kworker/R-ext4-]
     28 [kworker/R-inet_]
     62 [kworker/R-ipv6_]
     40 [kworker/R-kbloc]
    258 [kworker/R-kdmfl]
     39 [kworker/R-kinte]
     70 [kworker/R-kstrp]
     53 [kworker/R-kthro]
     45 [kworker/R-md]
     46 [kworker/R-md_bi]
     61 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     56 [kworker/R-scsi_]
     58 [kworker/R-scsi_]
    143 [kworker/R-scsi_]
    145 [kworker/R-scsi_]
    147 [kworker/R-scsi_]
    149 [kworker/R-scsi_]
    151 [kworker/R-scsi_]
    153 [kworker/R-scsi_]
    155 [kworker/R-scsi_]
    157 [kworker/R-scsi_]
    159 [kworker/R-scsi_]
    161 [kworker/R-scsi_]
    163 [kworker/R-scsi_]
    166 [kworker/R-scsi_]
    169 [kworker/R-scsi_]
    194 [kworker/R-scsi_]
    196 [kworker/R-scsi_]
    198 [kworker/R-scsi_]
    200 [kworker/R-scsi_]
    202 [kworker/R-scsi_]
    204 [kworker/R-scsi_]
    206 [kworker/R-scsi_]
    208 [kworker/R-scsi_]
    210 [kworker/R-scsi_]
    212 [kworker/R-scsi_]
    214 [kworker/R-scsi_]
    216 [kworker/R-scsi_]
    218 [kworker/R-scsi_]
